gene_id,REF
FUN_009305,
FUN_009094,
FUN_002572,
FUN_000477,
FUN_011492,
FUN_011703,
FUN_001818,
FUN_008069,
FUN_007217,
FUN_007186,
FUN_016163,
FUN_011800,"31-37,151-156,172-173"
FUN_005312,
FUN_005083,
FUN_011940,
FUN_016023,
FUN_007357,
FUN_005252,
FUN_008129,
FUN_001958,
FUN_009245,413-421
FUN_002432,
FUN_000537,
FUN_001849,
FUN_002523,
FUN_000426,
FUN_011752,
FUN_007246,
FUN_011851,
FUN_016132,
FUN_005343,
FUN_008038,1062-1064
FUN_008178,"822-822,1197-1211"
FUN_016072,
FUN_007306,
FUN_007097,
FUN_005203,"372-374,1328-1328"
FUN_005192,1882-1885
FUN_009214,
FUN_009185,
FUN_002463,
FUN_011583,
FUN_011612,
FUN_000566,32-37
FUN_001909,
FUN_001428,"77-142,574-576"
FUN_016250,
FUN_007124,1334-1345
FUN_000847,
FUN_005021,
FUN_002942,2975-2980
FUN_002641,
FUN_009036,
FUN_011430,
FUN_000744,
FUN_006248,62-65
FUN_006099,"2302-2313,3194-3202,3956-3964,5497-5499"
FUN_006308,
FUN_002701,"816-816,1472-1472"
FUN_002490,
FUN_009176,
FUN_000604,
FUN_000595,
FUN_011570,
FUN_000907,
FUN_007064,1410-1415
FUN_016081,
FUN_016310,
FUN_002802,
FUN_005161,
FUN_012488,
FUN_001568,
FUN_016190,
FUN_000816,
FUN_007175,
FUN_002913,253-254
FUN_005070,2848-2848
FUN_001479,
FUN_006188,"126-128,166-172,329-329,1188-1311"
FUN_006219,
FUN_002610,
FUN_002581,
FUN_009067,"334-335,1430-1432"
FUN_011461,
FUN_000715,
FUN_000484,
FUN_002750,
FUN_009127,"1123-1123,2670-2681,2791-2791,3042-3042,3084-3084,3374-3382"
FUN_000655,446-446
FUN_011521,
FUN_006359,
FUN_001539,1185-1191
FUN_007035,
FUN_000956,"667-700,863-904"
FUN_016341,
FUN_005130,1028-1030
FUN_002853,"600-608,1238-1240"
FUN_016046,
FUN_007332,
FUN_005237,2211-2211
FUN_003838,
FUN_009220,
FUN_002457,
FUN_011626,
FUN_000552,
FUN_009360,
FUN_002686,
FUN_002517,519-522
FUN_000783,
FUN_000412,
FUN_011766,
FUN_010898,
FUN_003978,
FUN_007272,
FUN_000880,
FUN_016106,
FUN_011865,
FUN_016297,
FUN_005377,214-230
FUN_016017,
FUN_011974,
FUN_016386,
FUN_007363,
FUN_000991,
FUN_005266,
FUN_002894,
FUN_009271,
FUN_002797,"830-832,1214-1277"
FUN_002406,"39-40,200-294"
FUN_000692,
FUN_000503,
FUN_010989,"19-90,165-168,313-315"
FUN_003869,"405-424,1220-1222,1941-1941,2250-2254"
FUN_003929,
FUN_009331,
FUN_002546,
FUN_000443,
FUN_011737,281-310
FUN_007223,
FUN_011834,
FUN_016157,
FUN_005326,
FUN_004268,"1-1,93-93"
FUN_002764,
FUN_009282,
FUN_009113,
FUN_000661,1279-1282
FUN_011515,
FUN_000962,
FUN_007390,
FUN_007001,"101-102,195-201,655-655,832-837"
FUN_016375,
FUN_011987,1535-1536
FUN_002867,
FUN_005295,437-442
FUN_005104,
FUN_003408,
FUN_003799,
FUN_010679,1808-1819
FUN_003548,860-862
FUN_010739,
FUN_016235,
FUN_007141,
FUN_000822,
FUN_005044,
FUN_002927,
FUN_002624,201-314
FUN_009053,714-719
FUN_011455,
FUN_000721,
FUN_004328,
FUN_002735,
FUN_009142,
FUN_000630,
FUN_011544,
FUN_004239,1384-1395
FUN_003459,
FUN_010628,
FUN_007050,
FUN_000933,
FUN_016324,287-385
FUN_005155,
FUN_002836,
FUN_000873,
FUN_007281,
FUN_007110,
FUN_002976,"281-289,3477-3565,3729-3729"
FUN_005384,1547-1549
FUN_005015,1565-1566
FUN_003519,
FUN_003688,
FUN_010768,
FUN_004379,
FUN_002675,"1394-1396,3452-3454"
FUN_009393,
FUN_009002,
FUN_011404,1-1
FUN_011795,42-43
FUN_000770,
FUN_004577,
FUN_015603,"288-397,1017-1017"
FUN_015592,
FUN_006472,
FUN_005918,81-81
FUN_001183,
FUN_001212,
FUN_010166,550-552
FUN_003086,1157-1159
FUN_003317,440-459
FUN_015900,
FUN_012063,
FUN_008560,
FUN_010026,
FUN_001352,
FUN_012123,
FUN_015840,
FUN_003257,
FUN_008420,"109-115,435-435,687-689,735-735"
FUN_005858,
FUN_015743,
FUN_004437,
FUN_006532,
FUN_005949,
FUN_004526,
FUN_015652,
FUN_006423,
FUN_001243,
FUN_003346,
FUN_015951,
FUN_008531,3120-3203
FUN_010077,1298-1300
FUN_001092,785-875
FUN_001303,
FUN_015811,
FUN_012172,
FUN_003197,
FUN_003206,108-113
FUN_008471,
FUN_015712,
FUN_015483,
FUN_004466,
FUN_006563,"1-6,1127-1135"
FUN_005809,
FUN_005528,
FUN_016759,
FUN_010255,
FUN_006842,
FUN_001121,
FUN_008653,
FUN_012350,
FUN_004947,
FUN_003024,
FUN_015530,
FUN_004644,
FUN_008950,
FUN_006741,
FUN_011139,
FUN_002348,1-3
FUN_011079,
FUN_002208,
FUN_002199,
FUN_004495,
FUN_004704,
FUN_015470,
FUN_008810,
FUN_006590,150-152
FUN_006601,
FUN_001061,
FUN_006902,
FUN_010315,
FUN_010084,1196-1248
FUN_008482,401-401
FUN_008713,
FUN_003164,
FUN_004807,
FUN_012210,
FUN_012181,
FUN_005468,1-1
FUN_016588,297-316
FUN_016619,
FUN_010204,1309-1323
FUN_010195,
FUN_001170,1665-1667
FUN_006813,
FUN_008593,
FUN_008602,
FUN_012301,
FUN_012090,
FUN_003075,
FUN_004916,
FUN_005579,280-281
FUN_016499,
FUN_016708,
FUN_011168,
FUN_002319,
FUN_002088,
FUN_015561,
FUN_004584,
FUN_004615,
FUN_008901,287-289
FUN_006481,
FUN_006710,
FUN_004755,
FUN_015421,
FUN_008841,
FUN_006650,
FUN_011028,
FUN_002259,1606-1730
FUN_005439,
FUN_016648,
FUN_006953,
FUN_001030,
FUN_010344,4-4
FUN_008742,
FUN_003135,
FUN_012241,
FUN_010043,
FUN_001337,
FUN_012146,
FUN_015825,
FUN_003232,
FUN_008445,
FUN_007938,
FUN_009729,
FUN_015726,
FUN_004452,
FUN_006557,
FUN_008997,
FUN_004512,
FUN_004683,"3102-3110,5103-5103"
FUN_015666,
FUN_006417,
FUN_006786,
FUN_007878,
FUN_009669,
FUN_006885,
FUN_001277,
FUN_010292,
FUN_010103,
FUN_004980,
FUN_003372,1102-1102
FUN_012397,
FUN_015965,
FUN_012006,
FUN_008505,
FUN_008694,
FUN_010383,
FUN_010012,
FUN_006994,
FUN_001366,4457-4575
FUN_012286,
FUN_015874,
FUN_012117,
FUN_004891,
FUN_003263,
FUN_008414,
FUN_008785,
FUN_008886,
FUN_015777,
FUN_004403,
FUN_004792,
FUN_006506,
FUN_006697,
FUN_007969,
FUN_009778,
FUN_007829,
