geneid,KaKs_bases,KaKs_r,n_blocks,pos_info,KaKs_bases2,KaKs_r2,n_blocks2,pos_info2
FUN_000172,0,0.0,0,pos,0,0.0,0,pos
FUN_009320,0,0.0,0,pos,0,0.0,0,pos
FUN_008428,0,0.0,0,pos,0,0.0,0,pos
FUN_006181,264,0.019332161687170474,2,pos_s10368_e10422_s11388_e11460,18,0.0013181019332161687,0,pos
FUN_016440,0,0.0,0,pos,0,0.0,0,pos
FUN_001920,0,0.0,0,pos,0,0.0,0,pos
FUN_004243,18,0.0045871559633027525,0,pos,0,0.0,0,pos
FUN_003960,0,0.0,0,pos,0,0.0,0,pos
FUN_004139,0,0.0,0,pos,0,0.0,0,pos
FUN_004149,0,0.0,0,pos,0,0.0,0,pos
FUN_016858,0,0.0,0,pos,0,0.0,0,pos
FUN_010318,0,0.0,0,pos,0,0.0,0,pos
FUN_015797,0,0.0,0,pos,0,0.0,0,pos
FUN_004187,0,0.0,0,pos,0,0.0,0,pos
FUN_002814,0,0.0,0,pos,0,0.0,0,pos
FUN_006618,0,0.0,0,pos,0,0.0,0,pos
FUN_002221,24,0.017699115044247787,0,pos,18,0.01327433628318584,0,pos
FUN_005215,0,0.0,0,pos,0,0.0,0,pos
FUN_015279,0,0.0,0,pos,0,0.0,0,pos
FUN_002234,0,0.0,0,pos,0,0.0,0,pos
FUN_005642,0,0.0,0,pos,0,0.0,0,pos
FUN_010426,0,0.0,0,pos,0,0.0,0,pos
FUN_000159,0,0.0,0,pos,0,0.0,0,pos
FUN_007064,0,0.0,0,pos,0,0.0,0,pos
FUN_007844,12,0.0025,0,pos,6,0.00125,0,pos
FUN_010044,0,0.0,0,pos,0,0.0,0,pos
FUN_011097,0,0.0,0,pos,0,0.0,0,pos
FUN_003380,0,0.0,0,pos,0,0.0,0,pos
FUN_005038,0,0.0,0,pos,0,0.0,0,pos
FUN_001549,0,0.0,0,pos,0,0.0,0,pos
FUN_004059,0,0.0,0,pos,0,0.0,0,pos
FUN_006504,0,0.0,0,pos,0,0.0,0,pos
FUN_005736,0,0.0,0,pos,0,0.0,0,pos
FUN_016798,0,0.0,0,pos,0,0.0,0,pos
FUN_011999,0,0.0,0,pos,0,0.0,0,pos
FUN_016116,282,0.06275033377837116,3,pos_s300_e420_s3588_e3642_s3672_e3702,48,0.010680907877169559,1,pos_s3600_e3642
FUN_012375,0,0.0,0,pos,0,0.0,0,pos
FUN_003403,54,0.05142857142857143,1,pos_s780_e834,0,0.0,0,pos
FUN_011847,0,0.0,0,pos,0,0.0,0,pos
FUN_004603,0,0.0,0,pos,0,0.0,0,pos
FUN_010491,252,0.03577512776831346,3,pos_s1944_e1974_s2022_e2058_s4230_e4278,60,0.008517887563884156,1,pos_s4230_e4272
FUN_002361,36,0.046875,1,pos_s330_e360,0,0.0,0,pos
FUN_009051,0,0.0,0,pos,0,0.0,0,pos
FUN_001453,0,0.0,0,pos,0,0.0,0,pos
FUN_011300,0,0.0,0,pos,0,0.0,0,pos
FUN_010585,0,0.0,0,pos,0,0.0,0,pos
FUN_015511,0,0.0,0,pos,0,0.0,0,pos
FUN_001227,0,0.0,0,pos,0,0.0,0,pos
FUN_002165,78,0.05220883534136546,2,pos_s324_e366_s744_e780,0,0.0,0,pos
FUN_001592,0,0.0,0,pos,0,0.0,0,pos
FUN_012483,0,0.0,0,pos,0,0.0,0,pos
FUN_007988,0,0.0,0,pos,0,0.0,0,pos
FUN_008872,12,0.014814814814814815,0,pos,0,0.0,0,pos
FUN_007917,0,0.0,0,pos,0,0.0,0,pos
FUN_009947,54,0.05625,1,pos_s708_e738,0,0.0,0,pos
FUN_005164,0,0.0,0,pos,0,0.0,0,pos
FUN_003152,36,0.04878048780487805,1,pos_s318_e354,6,0.008130081300813009,0,pos
FUN_002091,0,0.0,0,pos,0,0.0,0,pos
FUN_012374,0,0.0,0,pos,0,0.0,0,pos
FUN_009323,0,0.0,0,pos,0,0.0,0,pos
FUN_004390,0,0.0,0,pos,0,0.0,0,pos
FUN_002425,0,0.0,0,pos,0,0.0,0,pos
FUN_006723,90,0.02895752895752896,1,pos_s2136_e2208,0,0.0,0,pos
FUN_005463,90,0.07281553398058252,2,pos_s378_e408_s1026_e1074,42,0.03398058252427184,1,pos_s378_e408
FUN_009244,0,0.0,0,pos,0,0.0,0,pos
FUN_009041,0,0.0,0,pos,0,0.0,0,pos
FUN_005528,0,0.0,0,pos,0,0.0,0,pos
FUN_002111,0,0.0,0,pos,0,0.0,0,pos
FUN_001666,0,0.0,0,pos,0,0.0,0,pos
FUN_002730,0,0.0,0,pos,0,0.0,0,pos
FUN_012008,0,0.0,0,pos,0,0.0,0,pos
FUN_007887,0,0.0,0,pos,0,0.0,0,pos
FUN_008039,0,0.0,0,pos,0,0.0,0,pos
FUN_010997,0,0.0,0,pos,0,0.0,0,pos
FUN_000957,0,0.0,0,pos,0,0.0,0,pos
FUN_006746,0,0.0,0,pos,0,0.0,0,pos
FUN_011485,24,0.07272727272727272,0,pos,0,0.0,0,pos
FUN_010841,174,0.09830508474576272,3,pos_s1308_e1338_s1404_e1434_s1572_e1662,36,0.020338983050847456,0,pos
FUN_011933,0,0.0,0,pos,0,0.0,0,pos
FUN_006630,0,0.0,0,pos,0,0.0,0,pos
FUN_004438,0,0.0,0,pos,0,0.0,0,pos
FUN_010090,0,0.0,0,pos,0,0.0,0,pos
FUN_001940,18,0.011673151750972763,0,pos,12,0.007782101167315175,0,pos
FUN_006753,0,0.0,0,pos,0,0.0,0,pos
FUN_005312,0,0.0,0,pos,0,0.0,0,pos
FUN_012454,0,0.0,0,pos,0,0.0,0,pos
FUN_006871,0,0.0,0,pos,0,0.0,0,pos
FUN_015248,0,0.0,0,pos,0,0.0,0,pos
FUN_003476,72,0.04411764705882353,1,pos_s1110_e1146,24,0.014705882352941176,0,pos
