geneid,KaKs_bases,KaKs_r,n_blocks,pos_info,KaKs_bases2,KaKs_r2,n_blocks2,pos_info2
FUN_007151,0,0.0,0,pos,0,0.0,0,pos
FUN_009997,0,0.0,0,pos,0,0.0,0,pos
FUN_002185,0,0.0,0,pos,0,0.0,0,pos
FUN_010707,6,0.004347826086956522,0,pos,0,0.0,0,pos
FUN_015803,0,0.0,0,pos,0,0.0,0,pos
FUN_007700,0,0.0,0,pos,0,0.0,0,pos
FUN_009076,0,0.0,0,pos,0,0.0,0,pos
FUN_012519,0,0.0,0,pos,0,0.0,0,pos
FUN_000799,240,0.08565310492505353,4,pos_s372_e402_s498_e618_s624_e684_s972_e1002,132,0.047109207708779445,2,pos_s510_e570_s624_e660
FUN_001291,0,0.0,0,pos,0,0.0,0,pos
FUN_008335,0,0.0,0,pos,0,0.0,0,pos
FUN_009511,6,0.01020408163265306,0,pos,0,0.0,0,pos
FUN_001711,24,0.028985507246376812,0,pos,12,0.014492753623188406,0,pos
FUN_016487,0,0.0,0,pos,0,0.0,0,pos
FUN_015719,0,0.0,0,pos,0,0.0,0,pos
FUN_008279,30,0.01366120218579235,0,pos,0,0.0,0,pos
FUN_015323,0,0.0,0,pos,0,0.0,0,pos
FUN_008752,0,0.0,0,pos,0,0.0,0,pos
FUN_003342,144,0.06593406593406594,2,pos_s1992_e2034_s2040_e2070,12,0.005494505494505495,0,pos
FUN_012516,0,0.0,0,pos,0,0.0,0,pos
FUN_016234,0,0.0,0,pos,0,0.0,0,pos
FUN_010237,0,0.0,0,pos,0,0.0,0,pos
FUN_002399,0,0.0,0,pos,0,0.0,0,pos
FUN_012281,0,0.0,0,pos,0,0.0,0,pos
FUN_015776,0,0.0,0,pos,0,0.0,0,pos
FUN_001143,0,0.0,0,pos,0,0.0,0,pos
FUN_008532,0,0.0,0,pos,0,0.0,0,pos
FUN_000041,6,0.008264462809917356,0,pos,0,0.0,0,pos
FUN_011301,0,0.0,0,pos,0,0.0,0,pos
FUN_003323,0,0.0,0,pos,0,0.0,0,pos
FUN_007374,0,0.0,0,pos,0,0.0,0,pos
FUN_009290,156,0.03566529492455418,2,pos_s1236_e1332_s2484_e2538,78,0.01783264746227709,1,pos_s1242_e1314
FUN_010959,0,0.0,0,pos,0,0.0,0,pos
FUN_003240,0,0.0,0,pos,0,0.0,0,pos
FUN_006848,72,0.08450704225352113,1,pos_s684_e738,18,0.02112676056338028,0,pos
FUN_007964,96,0.09937888198757763,2,pos_s570_e600_s636_e684,6,0.006211180124223602,0,pos
FUN_010287,72,0.044444444444444446,1,pos_s1146_e1188,24,0.014814814814814815,0,pos
FUN_011702,0,0.0,0,pos,0,0.0,0,pos
FUN_010527,0,0.0,0,pos,0,0.0,0,pos
FUN_015295,0,0.0,0,pos,0,0.0,0,pos
FUN_004755,90,0.189873417721519,2,pos_s144_e204_s216_e246,36,0.0759493670886076,1,pos_s156_e192
FUN_001765,0,0.0,0,pos,0,0.0,0,pos
FUN_004808,0,0.0,0,pos,0,0.0,0,pos
FUN_016070,0,0.0,0,pos,0,0.0,0,pos
FUN_003544,0,0.0,0,pos,0,0.0,0,pos
FUN_011477,0,0.0,0,pos,0,0.0,0,pos
FUN_016087,0,0.0,0,pos,0,0.0,0,pos
FUN_009827,0,0.0,0,pos,0,0.0,0,pos
FUN_007332,0,0.0,0,pos,0,0.0,0,pos
FUN_007857,210,0.031055900621118012,3,pos_s6030_e6084_s6114_e6144_s6522_e6558,78,0.011535048802129548,1,pos_s6036_e6078
FUN_010143,258,0.18695652173913044,4,pos_s0_e84_s546_e624_s636_e672_s1002_e1032,84,0.06086956521739131,1,pos_s552_e624
FUN_005366,18,0.0014858841010401188,0,pos,0,0.0,0,pos
FUN_010266,0,0.0,0,pos,0,0.0,0,pos
FUN_011611,0,0.0,0,pos,0,0.0,0,pos
FUN_011162,0,0.0,0,pos,0,0.0,0,pos
FUN_012321,0,0.0,0,pos,0,0.0,0,pos
FUN_000039,252,0.18502202643171806,3,pos_s144_e174_s180_e216_s234_e384,156,0.1145374449339207,1,pos_s234_e384
FUN_001802,0,0.0,0,pos,0,0.0,0,pos
FUN_012343,0,0.0,0,pos,0,0.0,0,pos
