geneid,KaKs_bases,KaKs_r,n_blocks,pos_info,KaKs_bases2,KaKs_r2,n_blocks2,pos_info2
FUN_011815,0,0.0,0,pos,0,0.0,0,pos
FUN_006371,0,0.0,0,pos,0,0.0,0,pos
FUN_016742,0,0.0,0,pos,0,0.0,0,pos
FUN_005023,126,0.04007633587786259,3,pos_s1614_e1662_s1680_e1710_s2988_e3036,54,0.01717557251908397,1,pos_s1620_e1662
FUN_007870,216,0.08571428571428572,3,pos_s180_e240_s414_e450_s1638_e1668,0,0.0,0,pos
FUN_009688,0,0.0,0,pos,0,0.0,0,pos
FUN_016766,0,0.0,0,pos,0,0.0,0,pos
FUN_012151,0,0.0,0,pos,0,0.0,0,pos
FUN_003357,126,0.168,2,pos_s222_e294_s426_e468,30,0.04,1,pos_s222_e252
FUN_016859,0,0.0,0,pos,0,0.0,0,pos
FUN_003286,78,0.010333863275039745,0,pos,0,0.0,0,pos
FUN_009186,0,0.0,0,pos,0,0.0,0,pos
FUN_003985,120,0.03361344537815126,1,pos_s762_e822,24,0.0067226890756302525,0,pos
FUN_003858,0,0.0,0,pos,0,0.0,0,pos
FUN_004393,24,0.005188067444876783,0,pos,0,0.0,0,pos
FUN_000334,258,0.1048780487804878,3,pos_s726_e864_s1338_e1392_s1416_e1452,180,0.07317073170731707,3,pos_s816_e864_s1344_e1392_s1416_e1452
FUN_001278,120,0.049019607843137254,1,pos_s1710_e1818,0,0.0,0,pos
FUN_010966,282,0.13428571428571429,4,pos_s162_e234_s252_e282_s612_e684_s822_e852,126,0.06,2,pos_s168_e222_s618_e648
FUN_000433,0,0.0,0,pos,0,0.0,0,pos
FUN_003794,0,0.0,0,pos,0,0.0,0,pos
FUN_002342,0,0.0,0,pos,0,0.0,0,pos
FUN_011482,138,0.052752293577981654,2,pos_s2232_e2268_s2508_e2598,72,0.027522935779816515,1,pos_s2508_e2580
FUN_002191,0,0.0,0,pos,0,0.0,0,pos
FUN_006483,0,0.0,0,pos,0,0.0,0,pos
FUN_000250,42,0.03626943005181347,1,pos_s480_e516,0,0.0,0,pos
FUN_009362,0,0.0,0,pos,0,0.0,0,pos
FUN_004364,0,0.0,0,pos,0,0.0,0,pos
FUN_007453,0,0.0,0,pos,0,0.0,0,pos
FUN_003831,0,0.0,0,pos,0,0.0,0,pos
FUN_007763,126,0.023411371237458192,1,pos_s1224_e1320,0,0.0,0,pos
FUN_005510,192,0.11267605633802817,2,pos_s858_e906_s918_e972,42,0.02464788732394366,1,pos_s942_e972
FUN_009929,0,0.0,0,pos,0,0.0,0,pos
FUN_001436,0,0.0,0,pos,0,0.0,0,pos
FUN_005991,0,0.0,0,pos,0,0.0,0,pos
FUN_000938,42,0.00995732574679943,1,pos_s4032_e4062,0,0.0,0,pos
FUN_001810,0,0.0,0,pos,0,0.0,0,pos
FUN_000206,186,0.028233151183970857,2,pos_s1788_e1890_s1902_e1956,0,0.0,0,pos
FUN_006250,0,0.0,0,pos,0,0.0,0,pos
FUN_005082,0,0.0,0,pos,0,0.0,0,pos
FUN_006553,6,0.003861003861003861,0,pos,0,0.0,0,pos
FUN_003706,12,0.004415011037527594,0,pos,0,0.0,0,pos
FUN_001821,54,0.04591836734693878,0,pos,36,0.030612244897959183,1,pos_s1134_e1170
FUN_001179,0,0.0,0,pos,0,0.0,0,pos
FUN_008163,12,0.003992015968063872,0,pos,0,0.0,0,pos
FUN_003932,6,0.003816793893129771,0,pos,0,0.0,0,pos
FUN_011705,0,0.0,0,pos,0,0.0,0,pos
FUN_003265,0,0.0,0,pos,0,0.0,0,pos
FUN_011575,0,0.0,0,pos,0,0.0,0,pos
FUN_002711,0,0.0,0,pos,0,0.0,0,pos
FUN_016612,0,0.0,0,pos,0,0.0,0,pos
FUN_016496,0,0.0,0,pos,0,0.0,0,pos
FUN_009956,0,0.0,0,pos,0,0.0,0,pos
FUN_003729,0,0.0,0,pos,0,0.0,0,pos
FUN_002885,78,0.029612756264236904,1,pos_s2262_e2316,0,0.0,0,pos
FUN_002408,0,0.0,0,pos,0,0.0,0,pos
FUN_008228,156,0.03951367781155015,2,pos_s792_e840_s3180_e3240,36,0.00911854103343465,1,pos_s3180_e3216
FUN_002577,90,0.07246376811594203,1,pos_s1134_e1224,0,0.0,0,pos
FUN_000666,0,0.0,0,pos,0,0.0,0,pos
FUN_008236,0,0.0,0,pos,0,0.0,0,pos
FUN_005532,0,0.0,0,pos,0,0.0,0,pos
FUN_006657,534,0.08388312912346843,5,pos_s324_e432_s732_e834_s1644_e1686_s2148_e2298_s5916_e5952,252,0.03958529688972667,5,pos_s324_e366_s732_e822_s1650_e1680_s2208_e2238_s2250_e2292
FUN_007354,96,0.003128666405944466,1,pos_s17424_e17520,0,0.0,0,pos
FUN_002081,0,0.0,0,pos,0,0.0,0,pos
FUN_003401,0,0.0,0,pos,0,0.0,0,pos
FUN_016195,0,0.0,0,pos,0,0.0,0,pos
FUN_010252,0,0.0,0,pos,0,0.0,0,pos
FUN_005344,0,0.0,0,pos,0,0.0,0,pos
FUN_009937,12,0.019417475728155338,0,pos,0,0.0,0,pos
FUN_003675,246,0.059077809798270896,4,pos_s198_e282_s894_e924_s2874_e2922_s4056_e4086,114,0.027377521613832854,2,pos_s204_e282_s4056_e4086
FUN_000491,42,0.029661016949152543,1,pos_s402_e444,0,0.0,0,pos
FUN_004164,0,0.0,0,pos,0,0.0,0,pos
FUN_006141,0,0.0,0,pos,0,0.0,0,pos
FUN_004438,0,0.0,0,pos,0,0.0,0,pos
FUN_006206,6,0.00392156862745098,0,pos,0,0.0,0,pos
FUN_008336,0,0.0,0,pos,0,0.0,0,pos
FUN_005300,0,0.0,0,pos,0,0.0,0,pos
FUN_000035,24,0.018018018018018018,0,pos,24,0.018018018018018018,0,pos
FUN_004582,0,0.0,0,pos,0,0.0,0,pos
FUN_003786,0,0.0,0,pos,0,0.0,0,pos
FUN_004308,0,0.0,0,pos,0,0.0,0,pos
FUN_008937,0,0.0,0,pos,0,0.0,0,pos
