pos,C1C5v2_C3D7v2_KaKs,C1G11_C1C5v2_KaKs,C1G11_C3D7v2_KaKs,avg_KaKs
1,0.0,,0.43396,0.21698
7,0.0,,0.478039,0.2390195
13,0.0,,0.513113,0.2565565
19,0.0,,0.524233,0.2621165
25,0.0,,0.474874,0.237437
31,0.0,,0.451164,0.225582
37,0.0,,0.361548,0.180774
43,,,,
49,,,,
55,,,,
61,,,,
67,,,,
73,,,,
79,,,,
85,,,,
91,,,,
97,,,,
103,,,,
109,,,,
115,,0.0,0.0,0.0
121,,0.0,0.0,0.0
127,,0.0,0.0,0.0
133,,0.0,0.0,0.0
139,,0.0,0.0,0.0
145,,0.171838,0.171838,0.171838
151,,0.201342,0.201342,0.201342
157,,0.256459,0.256459,0.256459
163,,0.306255,0.306255,0.306255
169,,0.302312,0.302312,0.302312
175,,0.328591,0.328591,0.328591
181,,0.314607,0.314607,0.314607
187,,0.306388,0.306388,0.306388
193,,0.306885,0.306885,0.306885
199,,0.317974,0.317974,0.317974
205,,0.330762,0.330762,0.330762
211,,0.343744,0.343744,0.343744
217,,0.326502,0.326502,0.326502
223,0.0,0.175017,0.352066,0.1756943333333333
229,0.0,0.339717,,0.1698585
235,0.0,0.36001,,0.180005
241,0.0,0.358884,,0.179442
247,0.0,0.348387,,0.1741935
253,0.0,0.366112,,0.183056
259,0.0,0.0,,0.0
265,0.0,0.0,,0.0
271,0.0,0.0,,0.0
277,0.0,0.0,,0.0
283,0.0,0.0,,0.0
289,0.0,0.325662,,0.162831
295,0.0,0.37135,,0.185675
301,0.0,0.352115,,0.1760575
307,0.0,0.351102,,0.175551
313,0.0,0.351293,,0.1756465
319,0.0,0.352569,,0.1762845
325,0.0,0.363297,,0.1816485
331,0.0,0.365107,,0.1825535
337,,,,
343,,,,
349,,,,
355,,,,
361,,,,
367,,,,
373,,,,
379,,,,
385,,,,
391,,0.343583,0.343583,0.343583
397,,0.318517,0.318517,0.318517
403,,0.0,0.0,0.0
409,,0.0,0.0,0.0
415,,0.0,0.0,0.0
421,,0.0,0.0,0.0
427,,0.0,0.0,0.0
433,,0.0,0.0,0.0
439,,0.0,0.0,0.0
445,,0.0,0.0,0.0
451,,0.0,0.0,0.0
457,,0.0,0.0,0.0
463,0.0,0.0,0.0,0.0
469,0.0,0.0,0.0,0.0
475,0.0,0.0,0.0,0.0
481,0.0,0.0,0.0,0.0
487,0.0,0.0,0.0,0.0
493,0.0,0.0,0.0,0.0
499,0.0,0.0,0.0,0.0
505,0.0,0.0,,0.0
511,0.0,0.0,,0.0
517,0.0,0.0,,0.0
523,0.0,0.0,,0.0
529,0.0,0.0,,0.0
535,0.0,0.0,,0.0
541,0.0,0.0,,0.0
547,0.0,0.0,,0.0
553,0.0,0.0,,0.0
559,0.0,0.0,,0.0
565,0.0,0.0,,0.0
571,0.0,0.0,,0.0
577,0.0,0.0,,0.0
583,,,,
589,,,,
595,,,,
601,0.0,0.0,,0.0
607,0.0,0.0,,0.0
613,0.392726,0.392726,,0.392726
619,0.411769,0.411769,,0.411769
625,0.849917,0.849917,,0.849917
631,0.815092,0.815092,,0.815092
637,0.766006,0.766006,,0.766006
643,0.544878,0.779296,0.383367,0.5691803333333333
649,0.576169,0.828542,0.403823,0.6028446666666667
655,0.388851,0.414891,0.430278,0.41134
661,0.39621,0.417623,0.432783,0.41553866666666667
667,0.398419,0.414203,0.431851,0.4148243333333333
673,0.393177,0.40285,0.418818,0.4049483333333333
679,0.374798,0.242366,0.886064,0.501076
685,0.349901,0.177346,0.422805,0.316684
691,0.357684,0.177367,0.421349,0.3188
697,0.321509,0.160109,0.386478,0.2893653333333333
703,0.196668,0.105634,0.307168,0.20315666666666665
709,0.201508,0.109463,0.330194,0.21372166666666667
715,0.34245,0.183496,0.358242,0.29472933333333334
721,0.373298,0.198607,0.376044,0.31598299999999996
727,0.301978,0.104064,0.381438,0.2624933333333333
733,0.291301,0.10061,0.364846,0.25225233333333336
739,0.193034,0.0,0.376345,0.189793
745,0.230155,0.0,0.405436,0.21186366666666667
751,0.211219,0.0,0.378743,0.196654
757,0.161001,0.0,0.375342,0.178781
763,0.142774,0.0,0.328696,0.15715666666666667
769,0.288142,0.0,0.149638,0.14592666666666668
